Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
7.1,0.2,-1,0,0.99804243381368,0.0019575661863200366
7.2,0.2,-1,0,0.9979065834836547,0.0020934165163453144
7.3,0.2,-1,0,0.9977586674165195,0.002241332583480471
7.4,0.2,-1,0,0.997597620007241,0.0024023799927590517
7.5,0.2,-1,0,0.9974222801580481,0.0025777198419518754
7.6,0.2,-1,0,0.9972313833900444,0.002768616609955643
7.7,0.2,-1,0,0.9970235534045742,0.0029764465954258412
7.8,0.2,-1,0,0.9967972930799078,0.0032027069200921687
7.9,0.2,-1,0,0.9965509748938075,0.0034490251061924937
8.0,0.2,-1,0,0.9962828307733389,0.003717169226661099
8.1,0.2,-1,0,0.9959909413795458,0.004009058620454198
0.1,0.3,0,0,0.839016241457557,0.16098375854244296
0.2,0.3,-1,0,0.8419446738337228,0.15805532616627715
0.3,0.3,-1,0,0.8469801758139965,0.15301982418600346
0.4,0.3,-1,0,0.8544014916192282,0.14559850838077182
0.5,0.3,-1,0,0.8643421055721774,0.1356578944278226
0.6,0.3,-1,0,0.8767093362613423,0.12329066373865771
0.7,0.3,-1,0,0.8911175995946223,0.10888240040537767
0.8,0.3,-1,0,0.9068697744648944,0.09313022553510564
0.9,0.3,-1,0,0.9230210831714203,0.07697891682857971
1.0,0.3,-1,0,0.9385359850812165,0.061464014918783505
1.1,0.3,-1,0,0.9525005125643702,0.04749948743562982
1.2,0.3,-1,0,0.9643084668290385,0.03569153317096152
1.3,0.3,-1,0,0.9737419139837584,0.026258086016241577
1.4,0.3,-1,0,0.9809240127754038,0.019075987224596247
1.5,0.3,-1,0,0.9861906497387736,0.013809350261226427
1.6,0.3,-1,0,0.9899530947933499,0.01004690520665008
1.7,0.3,-1,0,0.9926005699886673,0.007399430011332697
1.8,0.3,-1,0,0.9944533368111479,0.005546663188852108
1.9,0.3,-1,0,0.9957530832665498,0.0042469167334502345
