Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase
5.2,0.25,500.0,-1
5.2,0.25,600.0,-1
5.2,0.25,800.0,-1
5.2,0.25,900.0,-1
5.2,0.25,1000.0,-1
5.2,0.25,1100.0,-1
5.2,0.25,1200.0,-1
5.2,0.25,1500.0,-1
5.2,0.25,2000.0,-1
5.6,0.25,100.0,-1
5.6,0.25,300.0,-1
5.6,0.25,500.0,-1
5.6,0.25,600.0,-1
5.6,0.25,800.0,-1
5.6,0.25,900.0,-1
5.6,0.25,1000.0,-1
5.6,0.25,1100.0,-1
5.6,0.25,1200.0,-1
5.6,0.25,1500.0,-1
5.6,0.25,2000.0,-1
6.0,0.25,100.0,-1
6.0,0.25,300.0,-1
6.0,0.25,500.0,-1
6.0,0.25,600.0,-1
6.0,0.25,800.0,-1
6.0,0.25,900.0,-1
6.0,0.25,1000.0,-1
6.0,0.25,1100.0,-1
6.0,0.25,1200.0,-1
6.0,0.25,1500.0,-1
6.0,0.25,2000.0,-1
6.4,0.25,100.0,-1
6.4,0.25,300.0,-1
6.4,0.25,500.0,-1
6.4,0.25,600.0,-1
6.4,0.25,800.0,-1
6.4,0.25,900.0,-1
6.4,0.25,1000.0,-1
6.4,0.25,1100.0,-1
6.4,0.25,1200.0,-1
6.4,0.25,1500.0,-1
6.4,0.25,2000.0,-1
6.8,0.25,100.0,-1
6.8,0.25,300.0,-1
6.8,0.25,500.0,-1
6.8,0.25,600.0,-1
6.8,0.25,800.0,-1
6.8,0.25,900.0,-1
6.8,0.25,1000.0,-1
6.8,0.25,1100.0,-1
6.8,0.25,1200.0,-1
6.8,0.25,1500.0,-1
6.8,0.25,2000.0,-1
7.2,0.25,100.0,-1
7.2,0.25,300.0,-1
7.2,0.25,500.0,-1
7.2,0.25,600.0,-1
7.2,0.25,800.0,-1
7.2,0.25,900.0,-1
7.2,0.25,1000.0,-1
7.2,0.25,1100.0,-1
7.2,0.25,1200.0,-1
7.2,0.25,1500.0,-1
7.2,0.25,2000.0,-1
7.6,0.25,100.0,-1
7.6,0.25,300.0,-1
7.6,0.25,500.0,-1
7.6,0.25,600.0,-1
7.6,0.25,800.0,-1
7.6,0.25,900.0,-1
7.6,0.25,1000.0,-1
7.6,0.25,1100.0,-1
7.6,0.25,1200.0,-1
7.6,0.25,1500.0,-1
7.6,0.25,2000.0,-1
0.0625,0.3,100.0,-1
0.0625,0.3,300.0,-1
0.0625,0.3,500.0,-1
0.0625,0.3,600.0,-1
0.0625,0.3,800.0,-1
0.0625,0.3,900.0,-1
0.0625,0.3,1000.0,-1
0.0625,0.3,1100.0,-1
0.0625,0.3,1200.0,-1
0.0625,0.3,1500.0,-1
0.0625,0.3,2000.0,-1
0.125,0.3,100.0,-1
