,Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Phase_0_probability,Phase_1_probability
5084,6.3,6.3,1,0.04750958751208145,0.9524904124879185
5085,6.4,6.3,1,0.05110224969916999,0.94889775030083
5086,6.5,6.3,1,0.05480549989249539,0.9451945001075046
5087,6.6,6.3,1,0.058613654398527615,0.9413863456014724
5088,6.7,6.3,1,0.06252099292373714,0.9374790070762629
5089,6.8,6.3,1,0.0665218036982651,0.9334781963017349
5090,6.9,6.3,1,0.07061042288739827,0.9293895771126017
5091,7.0,6.3,1,0.07478126860803513,0.9252187313919649
5092,7.1,6.3,1,0.07902886990041225,0.9209711300995878
5093,7.2,6.3,1,0.08334789107288998,0.91665210892711
5094,7.3,6.3,1,0.08773315179564634,0.9122668482043537
5095,7.4,6.3,1,0.09217964336403384,0.9078203566359662
5096,7.5,6.3,1,0.09668254149653421,0.9033174585034658
5097,7.6,6.3,1,0.10123721603383729,0.8987627839661627
5098,7.7,6.3,1,0.10583923785827665,0.8941607621417234
5099,7.8,6.3,1,0.1104843833418272,0.8895156166581728
5100,7.9,6.3,1,0.11516863657800513,0.8848313634219949
5101,8.0,6.3,1,0.11988818964027814,0.8801118103597219
5102,8.1,6.3,1,0.1246394410695757,0.8753605589304243
5103,0.1,6.4,0,0.998806143935667,0.0011938560643329765
5104,0.2,6.4,0,0.998751694908151,0.0012483050918490335
5105,0.3,6.4,0,0.9986037871232156,0.0013962128767843751
5106,0.4,6.4,0,0.9983096991342109,0.0016903008657891405
5107,0.5,6.4,0,0.9977647063005861,0.0022352936994138872
5108,0.6,6.4,0,0.9967571937995672,0.003242806200432824
5109,0.7,6.4,0,0.9948500706540244,0.005149929345975579
5110,0.8,6.4,0,0.9911142447201655,0.008885755279834484
5111,0.9,6.4,0,0.9834792662455811,0.01652073375441887
5112,1.0,6.4,0,0.967089560272484,0.03291043972751595
5113,1.1,6.4,0,0.9308196695108109,0.06918033048918915
5114,1.2,6.4,0,0.852693449564299,0.14730655043570096
5115,1.3,6.4,0,0.7030743455581501,0.29692565444184993
5116,1.4,6.4,1,0.4853169858748032,0.5146830141251968
5117,1.5,6.4,1,0.27536493331854217,0.7246350666814578
5118,1.6,6.4,1,0.13791115947697108,0.8620888405230289
5119,1.7,6.4,1,0.06642962896216886,0.9335703710378311
5120,1.8,6.4,1,0.03248177033503907,0.9675182296649609
5121,1.9,6.4,1,0.016625460971567918,0.9833745390284321
5122,2.0,6.4,1,0.008998122587513535,0.9910018774124865
5123,2.1,6.4,1,0.005157011293135838,0.9948429887068642
5124,2.2,6.4,1,0.0031418528799349588,0.996858147120065
5125,2.3,6.4,1,0.002047883190698485,0.9979521168093015
5126,2.4,6.4,1,0.0014360263579646926,0.9985639736420353
5127,2.5,6.4,1,0.0010860791646791768,0.9989139208353208
5128,2.6,6.4,1,0.0008851112410184214,0.9991148887589816
5129,2.7,6.4,1,0.0007741691803175854,0.9992258308196824
5130,2.8,6.4,1,0.0007221719698691231,0.9992778280301309
5131,2.9,6.4,1,0.0007129330006137025,0.9992870669993863
5132,3.0,6.4,1,0.0007386100543271823,0.9992613899456728
5133,3.1,6.4,1,0.0007963404871134117,0.9992036595128866
5134,3.2,6.4,1,0.0008864764645295509,0.9991135235354704
5135,3.3,6.4,1,0.001011633807479484,0.9989883661925205
5136,3.4,6.4,1,0.0011761554837903532,0.9988238445162096
5137,3.5,6.4,1,0.0013857818294127355,0.9986142181705873
5138,3.6,6.4,1,0.0016474164240207756,0.9983525835759792
5139,3.7,6.4,1,0.001968927727148184,0.9980310722728518
5140,3.8,6.4,1,0.0023589552389466917,0.9976410447610533
5141,3.9,6.4,1,0.0028267059382187654,0.9971732940617812
5142,4.0,6.4,1,0.003381737398058249,0.9966182626019418
5143,4.1,6.4,1,0.0040337305936191115,0.9959662694063809
5144,4.2,6.4,1,0.004792259374198693,0.9952077406258013
